COD_RUBRICA;DESCR_RUBRICA
6183;RESERVADO - USO FÁBRICA
6184;RESERVADO - USO FÁBRICA
6185;RESERVADO - USO FÁBRICA
6186;RESERVADO - USO FÁBRICA
6187;RESERVADO - USO FÁBRICA
6188;RESERVADO - USO FÁBRICA
6189;RESERVADO - USO FÁBRICA
6190;RESERVADO - USO FÁBRICA
6191;RESERVADO - USO FÁBRICA
6192;RESERVADO - USO FÁBRICA
6193;RESERVADO - USO FÁBRICA
6194;RESERVADO - USO FÁBRICA
6195;RESERVADO - USO FÁBRICA
6196;RESERVADO - USO FÁBRICA
6197;RESERVADO - USO FÁBRICA
6198;RESERVADO - USO FÁBRICA
6199;RESERVADO - USO FÁBRICA
6200;RESERVADO - USO FÁBRICA
6201;RESERVADO - USO FÁBRICA
6202;RESERVADO - USO FÁBRICA
6203;RESERVADO - USO FÁBRICA
6204;RESERVADO - USO FÁBRICA
6205;RESERVADO - USO FÁBRICA
6206;RESERVADO - USO FÁBRICA
6207;RESERVADO - USO FÁBRICA
6208;RESERVADO - USO FÁBRICA
6209;RESERVADO - USO FÁBRICA
6210;RESERVADO - USO FÁBRICA
6211;RESERVADO - USO FÁBRICA
6212;RESERVADO - USO FÁBRICA
6213;RESERVADO - USO FÁBRICA
6214;RESERVADO - USO FÁBRICA
6215;RESERVADO - USO FÁBRICA
6216;RESERVADO - USO FÁBRICA
6217;RESERVADO - USO FÁBRICA
6218;RESERVADO - USO FÁBRICA
6219;RESERVADO - USO FÁBRICA
6220;RESERVADO - USO FÁBRICA
6221;RESERVADO - USO FÁBRICA
6222;RESERVADO - USO FÁBRICA
6223;RESERVADO - USO FÁBRICA
6224;RESERVADO - USO FÁBRICA
6225;RESERVADO - USO FÁBRICA
6226;RESERVADO - USO FÁBRICA
6227;RESERVADO - USO FÁBRICA
6228;RESERVADO - USO FÁBRICA
6229;RESERVADO - USO FÁBRICA
6230;RESERVADO - USO FÁBRICA
6231;RESERVADO - USO FÁBRICA
6232;RESERVADO - USO FÁBRICA
6233;RESERVADO - USO FÁBRICA
6234;RESERVADO - USO FÁBRICA
6235;RESERVADO - USO FÁBRICA
6236;RESERVADO - USO FÁBRICA
6237;RESERVADO - USO FÁBRICA
6238;RESERVADO - USO FÁBRICA
6239;RESERVADO - USO FÁBRICA
6240;RESERVADO - USO FÁBRICA
6241;RESERVADO - USO FÁBRICA
6242;RESERVADO - USO FÁBRICA
6243;RESERVADO - USO FÁBRICA
6244;RESERVADO - USO FÁBRICA
6245;RESERVADO - USO FÁBRICA
6246;RESERVADO - USO FÁBRICA
6247;RESERVADO - USO FÁBRICA
6248;RESERVADO - USO FÁBRICA
6249;RESERVADO - USO FÁBRICA
6250;RESERVADO - USO FÁBRICA
6251;RESERVADO - USO FÁBRICA
6252;RESERVADO - USO FÁBRICA
6253;RESERVADO - USO FÁBRICA
6254;RESERVADO - USO FÁBRICA
6255;RESERVADO - USO FÁBRICA
6256;RESERVADO - USO FÁBRICA
6257;RESERVADO - USO FÁBRICA
6258;RESERVADO - USO FÁBRICA
6259;RESERVADO - USO FÁBRICA
6260;RESERVADO - USO FÁBRICA
6261;RESERVADO - USO FÁBRICA
6262;RESERVADO - USO FÁBRICA
6263;RESERVADO - USO FÁBRICA
6264;RESERVADO - USO FÁBRICA
6265;RESERVADO - USO FÁBRICA
6266;RESERVADO - USO FÁBRICA
6267;RESERVADO - USO FÁBRICA
6268;RESERVADO - USO FÁBRICA
6269;RESERVADO - USO FÁBRICA
6270;RESERVADO - USO FÁBRICA
6271;RESERVADO - USO FÁBRICA
6272;RESERVADO - USO FÁBRICA
6273;RESERVADO - USO FÁBRICA
6274;RESERVADO - USO FÁBRICA
6275;RESERVADO - USO FÁBRICA
6276;RESERVADO - USO FÁBRICA
6277;RESERVADO - USO FÁBRICA
6278;RESERVADO - USO FÁBRICA
6279;RESERVADO - USO FÁBRICA
6280;RESERVADO - USO FÁBRICA
6281;RESERVADO - USO FÁBRICA
6282;RESERVADO - USO FÁBRICA
6283;RESERVADO - USO FÁBRICA
6284;RESERVADO - USO FÁBRICA
6285;RESERVADO - USO FÁBRICA
6286;RESERVADO - USO FÁBRICA
6287;RESERVADO - USO FÁBRICA
6288;RESERVADO - USO FÁBRICA
6289;RESERVADO - USO FÁBRICA
6290;RESERVADO - USO FÁBRICA
6291;RESERVADO - USO FÁBRICA
6292;RESERVADO - USO FÁBRICA
6293;RESERVADO - USO FÁBRICA
6294;RESERVADO - USO FÁBRICA
6295;RESERVADO - USO FÁBRICA
6296;RESERVADO - USO FÁBRICA
6297;RESERVADO - USO FÁBRICA
6298;RESERVADO - USO FÁBRICA
6299;RESERVADO - USO FÁBRICA
6300;RESERVADO - USO FÁBRICA
6301;RESERVADO - USO FÁBRICA
6302;RESERVADO - USO FÁBRICA
6303;RESERVADO - USO FÁBRICA
6304;RESERVADO - USO FÁBRICA
6305;RESERVADO - USO FÁBRICA
6306;RESERVADO - USO FÁBRICA
6307;RESERVADO - USO FÁBRICA
6308;RESERVADO - USO FÁBRICA
6309;RESERVADO - USO FÁBRICA
6310;RESERVADO - USO FÁBRICA
6311;RESERVADO - USO FÁBRICA
6312;RESERVADO - USO FÁBRICA
6313;RESERVADO - USO FÁBRICA
6314;RESERVADO - USO FÁBRICA
6315;RESERVADO - USO FÁBRICA
6316;RESERVADO - USO FÁBRICA
6317;RESERVADO - USO FÁBRICA
6318;RESERVADO - USO FÁBRICA
6319;RESERVADO - USO FÁBRICA
6320;RESERVADO - USO FÁBRICA
6321;RESERVADO - USO FÁBRICA
6322;RESERVADO - USO FÁBRICA
6323;RESERVADO - USO FÁBRICA
6324;RESERVADO - USO FÁBRICA
6325;RESERVADO - USO FÁBRICA
6326;RESERVADO - USO FÁBRICA
6327;RESERVADO - USO FÁBRICA
6328;RESERVADO - USO FÁBRICA
6329;RESERVADO - USO FÁBRICA
6330;RESERVADO - USO FÁBRICA
6331;RESERVADO - USO FÁBRICA
6332;RESERVADO - USO FÁBRICA
6333;RESERVADO - USO FÁBRICA
6334;RESERVADO - USO FÁBRICA
6335;RESERVADO - USO FÁBRICA
6336;RESERVADO - USO FÁBRICA
6337;RESERVADO - USO FÁBRICA
6338;RESERVADO - USO FÁBRICA
6339;RESERVADO - USO FÁBRICA
6340;RESERVADO - USO FÁBRICA
6341;RESERVADO - USO FÁBRICA
6342;RESERVADO - USO FÁBRICA
6343;RESERVADO - USO FÁBRICA
6344;RESERVADO - USO FÁBRICA
6345;RESERVADO - USO FÁBRICA
6346;RESERVADO - USO FÁBRICA
6347;RESERVADO - USO FÁBRICA
6348;RESERVADO - USO FÁBRICA
6349;RESERVADO - USO FÁBRICA
6350;RESERVADO - USO FÁBRICA
6351;RESERVADO - USO FÁBRICA
6352;RESERVADO - USO FÁBRICA
6353;RESERVADO - USO FÁBRICA
6354;RESERVADO - USO FÁBRICA
6355;RESERVADO - USO FÁBRICA
6356;RESERVADO - USO FÁBRICA
6357;RESERVADO - USO FÁBRICA
6358;RESERVADO - USO FÁBRICA
6359;RESERVADO - USO FÁBRICA
6360;RESERVADO - USO FÁBRICA
6361;RESERVADO - USO FÁBRICA
6362;RESERVADO - USO FÁBRICA
6363;RESERVADO - USO FÁBRICA
6364;RESERVADO - USO FÁBRICA
6365;RESERVADO - USO FÁBRICA
6366;RESERVADO - USO FÁBRICA
6367;RESERVADO - USO FÁBRICA
6368;RESERVADO - USO FÁBRICA
6369;RESERVADO - USO FÁBRICA
6370;RESERVADO - USO FÁBRICA
6371;RESERVADO - USO FÁBRICA
6372;RESERVADO - USO FÁBRICA
6373;RESERVADO - USO FÁBRICA
6374;RESERVADO - USO FÁBRICA
6375;RESERVADO - USO FÁBRICA
6376;RESERVADO - USO FÁBRICA
6377;RESERVADO - USO FÁBRICA
6378;RESERVADO - USO FÁBRICA
6379;RESERVADO - USO FÁBRICA
6380;RESERVADO - USO FÁBRICA
6381;RESERVADO - USO FÁBRICA
6382;RESERVADO - USO FÁBRICA
6383;RESERVADO - USO FÁBRICA
6384;RESERVADO - USO FÁBRICA
6385;RESERVADO - USO FÁBRICA
6386;RESERVADO - USO FÁBRICA
6387;RESERVADO - USO FÁBRICA
6388;RESERVADO - USO FÁBRICA
6389;RESERVADO - USO FÁBRICA
6390;RESERVADO - USO FÁBRICA
6391;RESERVADO - USO FÁBRICA
6392;RESERVADO - USO FÁBRICA
6393;RESERVADO - USO FÁBRICA
6394;RESERVADO - USO FÁBRICA
6395;RESERVADO - USO FÁBRICA
6396;RESERVADO - USO FÁBRICA
6397;RESERVADO - USO FÁBRICA
6398;RESERVADO - USO FÁBRICA
6399;RESERVADO - USO FÁBRICA
6400;RESERVADO - USO FÁBRICA
6401;RESERVADO - USO FÁBRICA
6402;RESERVADO - USO FÁBRICA
6403;RESERVADO - USO FÁBRICA
6404;RESERVADO - USO FÁBRICA
6405;RESERVADO - USO FÁBRICA
6407;RESERVADO - USO FÁBRICA
6408;RESERVADO - USO FÁBRICA
6409;RESERVADO - USO FÁBRICA
6410;RESERVADO - USO FÁBRICA
6411;RESERVADO - USO FÁBRICA
6570;Ação Teto ¿ fórmula anterior ao Ato nº 1339/16
6801;Rendimentos Tributáveis - RRA
6806;Base de Cálculo IRF s/ RRA
6816;Base de Cálculo Previdência Empresa - INSS s/ RRA
6817;Base de Cálculo Previdência - Estatutários s/ RRA
6817;Base de Cálculo Previdência Estatutários s/ RRA
6824;Previdência Empresa INSS -RRA
6826;Previdência Empresa Estatutários - RRA
6831;Base Servidor ISENTO - RRA
6890;Pensão Alimentícia Base s/ RRA
6891;Nº de meses - RRA
6892;Nº do processo - RRA
6893;Pensao 73.75% sobre minimo
6894;Pensão - % sobre líquido
6895;Pensao 2 sal minimos
6896;Pensao decimo
6897;Pensao 73.75% sobre minimo 13º
6900;Despesas com ação Judicial s/ RRA
8040;Ded. Base IRRF 13º (do evento 804)
8160;Dedução Base INSS (do evento 816)
8170;Dedução Base IPREM (do evento 817)
8180;Base Devolução SPPREV
8190;Base Devolução RioPretoPrev
8230;Base Devolução RioPretoPrev 13º
8250;Ded. base iprem empresa  13º sal
8260;Base Devolução SPPREV 13°
8270;Ded. Base INSS 13o. (do evento 827)
8440;Dedução Base FGTS (do evento 844)
8450;Dedução FGTS (do evento 845)
8570;Seleciona o teto
8571;Seleciona teto A
8572;Seleciona teto B
8573;Base para Teto anterior ao ato nº 1339/16 (evento 6570)
8947;COMPENSAR - Prev. PROPRIA empresa no exercício
9149;RUBRICA AUXILIAR PARA ATS
9163;RUBRICA AUXILIAR PARA SEXTA PARTE
9240;Dedução INSS Empresa (do evento 924)
9250;Ded. INSS 13o Empresa (do evento 925)
9260;Dedução Previd. Empresa
9270;Ded. IPREM patronal 13º
9290;insuf.  TOTAL13º salário
9460;Dedução SPPREV Empresa 13º
9470;Dedução SPPREV Empresa (do evento 947)
9490;Ded. RENDA BRUTA 13º (do evento 949)
9580;Dedução IPRED Empresa (do evento 958)
9660;Dedução IPRED Empresa 13º (do evento 966)
9670;Devolução RioPretoPrev Patronal
9680;Devolução RioPretoPrev Patronal 13º
9986;IRRF no exterior - ACERTO
9993;Índ/Ref D S R
9998;Índ/Ref INTEGRACAO D.S.R.
10012;Insalubridade para 13º
11319;Gliep na Sexta Parte
18160;Dedução mês anterior Base INSS (do evento 816)
18571;Valor proporcional de 9 dias para o teto de R$ 24165,87
19200;Dedução FUNPREV Patronal Extraordinária - Decreto nº 61.151, art 20
19210;Dedução FUNFIN Patronal Extraordinária - Decreto nº 61.151, art 21
19220;Dedução FUNPREV Patronal 13º Extraordinária - Decreto nº 61.151, art 20
19230;Dedução FUNFIN Patronal 13º Extraordinária - Decreto nº 61.151, art 21 (19230)
19240;Dedução mês anterior INSS Empresa (do evento 924)
99149;Índice 149 Atual
99163;Índice 163 Atual
99525;Índice/Referência IRM (sem prev)
99910;Índ/Ref ARREDONDAMENTO ATUAL
99914;Índ/Ref FALTAS ABONADAS EM DIAS
99915;Índ/Ref FALTAS ABONADAS EM DIAS
99916;Índ/Ref FALTAS ABONADAS EM DIAS
99917;Índ/Ref FALTAS ABONADAS EM DIAS
99918;Índ/Ref FALTAS ABONADAS EM DIAS
99919;Índ/Ref FALTAS ABONADAS EM HORA
99920;Índ/Ref FALTAS ABONADAS EM HORA
99921;Índ/Ref FALTAS ABONADAS EM HORA
99922;Índ/Ref FALTAS ABONADAS EM HORA
99923;Índ/Ref FALTAS ABONADAS EM HORA
99924;Índ/Ref INTEGRACAO D.S.R.
99926;Índ/Ref Debito no Mês
99927;Índ/Ref DEBITO ANTERIOR
99930;Índ/Ref Credito no Mes
99937;Índ/Ref Dif. Comissionados L16671/17, art 4, §5
99943;Índ/Ref ABONO ESPECIAL DE FERIA
99946;Índ/Ref DIFERENCA DE FERIAS
99947;Índ/Ref DIF. ABONO PECUN. FERIAS
99953;Índ/Ref AUX. DOENÇA - Art 126 -L 8989/79
99954;Índ/Ref Custeio de Bolsas de Estudos - NB
99970;Índ/Ref FGTS DO MES ANTERIOR
99974;Índ/Ref PASEP
99975;Índ/Ref Auxílio Saúde
99976;Índ/Ref Auxílio Alimentação - exonerados
99991;Índ/Ref DIF.FERIAS C
99999;Ajuste Compl. ESOCIAL
100149;Backup 149
100170;GRATIF.FUNÇÃO
100175;Guarda valor do 175
100200;PENSÃO 13º - 1º PARCELA
100212;Backup 212
100214;Somatorio Revalorizao 214
100223;Somatorio para calculo do 223
100286;Backup 286
100291;Verifica os dias de afastamento p/ evento 291
100292;GRAT.PM LEI 13749/03 - Integral
100300;20% dos vencimentos - Resolução CMSP 01/2012
100301;40% dos Vencimentos
100302;Vencimentos, 30% CLT ou 70%  EFETIVOS
100303;MARGEM: 40%-CLT e 40%- Efetivos
100304;MARGEM: 30%-CLT e 70%- Efetivos
100305;Margem Consignavel Disponível
100305;Margem Consignavel
100306;BASE RAIS
100307;MARGEM CONSIGNÁVEL Emprest. Pessoal - 20% - Res. CMSP 01/2012
100307;MARGEM CONSIGNÁVEL Emprest. Pessoal - Resolução CMSP 01/2012
100310;Base previdencia
100311;Valor previdencia
100312;INSUFICIÊNCIA 20% - Consig Emprest Pessoal - Res. CMSP 01/2012
100312;INSUFICIÊNCIA 20% dos venctos - Res. 01/2012
100313;INSUFICIENCIA: 40%-CLT e 40%- Efetivos
100314;INSUFICIENCIA: 30%-CLT e 70%- Efetivos
100315;Função em exercício valor mensal
100318;Formula do IRM
100319;Gliep Integral
100320;Gliep - CLT Integral (Ferias)
100321;FG EM FERIAS
100329;Evento 329 integral
100330;Acerto DIRF - desconta IR
100331;Acerto DIRF - desconto Prev 13º
100332;Acerto DIRF - desconto 13º
100333;Acerto DIRF - soma 13º
100334;Acerto DIRF - desconto Previdência
100335;Acerto DIRF só comprovante - desconto 13º
100335;Acerto DIRF - desconto Prev 13º
100336;Acerto DIRF - soma dependente
100336;Acerto DIRF - desconto Previdência (comprovante)
100337;Acerto DIRF só comprovante - soma 13º
100337;Acerto DIRF - desconta IR 13º
100338;Acerto DIRF - soma IR
100339;Acerto DIRF - só comprovante - soma prev
100340;Acerto DIRF 2020 (rescisão jan/19) - RT
100341;Acerto DIRF 2020 (rescisão jan/19) - IR
100342;Acerto DIRF 2020 (rescisão jan/19) - PREV
100343;Acerto DIRF 2020 (rescisão jan/19) - DEPENDENTES
100343;Acerto DIRF 2020 (rescisão jan/19) - DEPENDENTES
100344;Acerto DIRF 2020 (rescisão jan/19) - FÉRIAS INDENIZADAS
100345;Acerto DIRF 2020 (rescisão jan/19) - RT 13º
100347;Acerto DIRF 2020 (rescisão jan/19) - PREV 13º
100348;Acerto DIRF 2020 (rescisão jan/19) - DEPENDENTES 13º
100349;Acerto DIRF só comprovante - somar prev
100349;Acerto DIRF 2020 (rescisão jan/19) - REND ISENTOS
100350;Acerto DIRF só comprovante - somar IR 13º
100351;Acerto DIRF só DIRF - soma prev
100390;Somatório de FGs permanentes
100392;FG-3 PERMANENTE ( verificacao)
100442;Pensão Aliment 1º Parc 13º Sal
100442;Pensão Alimet. 1º Parc. 13º
100605;DESCONTO DE TETO FERIAS INDENIZADAS
100800;Limite p/ 570 - eventos outros orgaos
100801;801 - rend. tribut. NEGATIVO
100806;806 - Base calc. IRRF NEGATIVO
100900;Somatorio p/Formulas
100901;Somatorio p/Formulas
100902;Evento Intermediario
100903;SOMATORIO
100990;VALOR EVENTO 291 P/ RESCISAO
100991;Somatorio
100992;SOMATORIO
100993;Valor do Teto Salarial
100994;Total de vencimentos para teto
100995;Valor do Teto Salarial
100996;Salário Mínimo Referencia
100997;Remuneração Mensal
100998;Parcela Isenta (65 ano) 10253 e 10283 ( dirf2008)
100999;Dependentes 10563 ( dirf)
101319;Gliep p/ 13
101319;Gliep p/13
101578;Base INSS Anterior
101581;Base SPPREV Anterior
101582;Base RioPretoPrev Anterior
101595;Base Prev. Social Anterior
102184;Base FG - exonerados
102214;Gliep  evento 214 sem Revalorizacao
102319;Gliep sem Revalorizacao
102412;BASE FGTS 13º SEFIP COMP.12
102415;DIRF2010 - DESCONTO 33 10911
102416;DIRF2010 - ADTO 13º APOSENTADO
102417;Rend. tributavel CLT - Ev. 802 + Ev. 806
102418;Abate Prev.Privada (empresa 23) afast 7
104570;Guarda índice do 4570
106570;Guarda índice do 6570
110165;Devolução IRRF meses anteriores - ajuste DIRF
110291;GNA - GV - Integral ( Processo de cálculo)
200303;Guarda abono de permanencia
200304;Previdência Estagiário eSocial - Vínculos
300001;Auxílio Funeral - Crédito - Beneficiário 1
300002;Auxílio Funeral - Crédito - Beneficiário 2
300003;Auxílio Funeral - Crédito - Beneficiário 3
300004;Auxílio Funeral - Crédito - Beneficiário 4
300005;Auxílio Funeral - Crédito - Beneficiário 5
300006;Auxílio Funeral - Crédito - Beneficiário 6
300007;Auxílio Funeral - Crédito - Beneficiário 7
300008;Auxílio Funeral - Crédito - Beneficiário 8
300009;Auxílio Funeral - Crédito - Beneficiário 9
300010;Auxílio Funeral - Crédito - Beneficiário 10
300011;Auxílio Funeral - Dedução - Beneficiário 1
300012;Auxílio Funeral - Dedução - Beneficiário 2
300013;Auxílio Funeral - Dedução - Beneficiário 3
300014;Auxílio Funeral - Dedução - Beneficiário 4
300015;Auxílio Funeral - Dedução - Beneficiário 5
300016;Auxílio Funeral - Dedução - Beneficiário 6
300017;Auxílio Funeral - Dedução - Beneficiário 7
300018;Auxílio Funeral - Dedução - Beneficiário 8
300019;Auxílio Funeral - Dedução - Beneficiário 9
300020;Auxílio Funeral - Dedução - Beneficiário 10
900410;Percentual de Referência do INSS/RGPS
900991;Índice/Ref. PADRAO
900992;Índice/Ref. Padrão - complementar
900993;Índice/Ref. D S R
900994;Índice/Ref. SALARIO FAMILIA
900995;Índice/Ref. Salário Maternidade até 4 meses
900996;Índice/Ref. AUXILIO ENFERMIDADE
900997;Índice/Ref. AUXILIO ACID.TRABALHO
900998;Índice/Ref. INTEGRACAO D.S.R.
900999;Total de Empréstimos Bancários
931998;Gliep BP auxiliar
931999;Gliep Media Aposentados
993437;ADITAMENTO DE FÉRIAS eSOCIAL - INFORMATIVA CREDORA
998271;Índ/Ref DEV.IMPOSTO RENDA 13.SA
998300;Índ/Ref DEV.DESC.INDEVIDO NÃO BASE
999101;Índ/Ref Abate IPREM
999102;Índ/Ref GRAT.GAB.PERMANENTE
999103;Índ/Ref GRAT.GAB.CONTINUA
999104;Índ/Ref GRAT.GAB.INCORPORADA
999105;Índ/Ref Acerto Parcela Isenta 65 anos (Abatimento)
999107;Índ/Ref AUXILIO ACID.TRABALHO INFORMADO
999108;Índ/Ref DIF DE 13º - SEM PREV
999111;Índ/Ref Atual. Monet. (não BP) - valor
999112;Índ/Ref DIF. VENCTOS 3 COM PREVIDÊNCIA
999113;Índ/Ref DIF. VENCTOS 3 SEM PREVIDÊNCIA
999114;Índ/Ref DIF. VENCTOS 4 COM PREVIDÊNCIA
999115;Índ/Ref DIF. VENCTOS 4 SEM PREVIDÊNCIA
999116;Índ/Ref DIF. FÉRIAS SEM PREVIDÊNCIA
999117;Índ/Ref DIF. FÉRIAS COM PREVIDÊNCIA
999118;Índ/Ref DIF. ABONO PECUNIARIO
999119;Índ/Ref DIF. VENCTOS 5 SEM PREVIDÊNCIA
999120;Índ/Ref DIF. VENCTOS 5 SEM PREVIDÊNCIA
999139;Índ/Ref 149 p/Vinculo 19B
999141;Índ/Ref 286 p/Vinculo 19B
999143;Índ/Ref DEV DESCONTO INDEVIDO anos anteriores
999144;Índ/Ref Dev de Previd PRIVADA do exercício
999149;Índ/Ref ADIC. TEMPO SERVICO até L.13637/03
999163;Índ/Ref SEXTA PARTE até 21/08/09
999177;Índ/Ref DEV.VALE/AUX TRANSPORTE
999178;Índ/Ref DIFERENCA DE ART.37 INC
999179;Índ/Ref ARREDONDAMENTO POSITIVO
999180;Índ/Ref SUBSTITUIÇAO
999181;Índ/Ref SUBST.INCORPORADA CS
999182;Índ/Ref DIF.GRAT.GABINETE
999184;Índ/Ref DIFERENCA VENCTOS
999186;Índ/Ref DIF. VENCTOS EXERC. ANTERIORES
999191;Índ/Ref DIF.FERIAS
999192;Índ/Ref DEVOLUCAO DESC. INDEVID BASE
999199;Índ/Ref HORA EXTRA
999201;Índ/Ref D.VENC.ACAO 62%
999202;Índ/Ref Dif. de 13º anos anteriores
999203;Índ/Ref DIF. VENCIMENTO AÇÃO EXERC. ANTERIOR
999205;Índ/Ref Dif. remuneração DM 1022 e 1331/11
999206;Índ/Ref Dif. Ajuda Custo DM 1022 e 1331/11
999207;Índ/Ref Dif. Verba Represent. DM 1022 e 1331/11
999208;Índ/Ref Dif. Remuneração Adicional DM 1022 e 1331/11
999209;Índ/Ref Dif. remuneração DM 1331/11
999211;Índ/Ref DEVOLUCAO DE FALTAS
999215;Índ/Ref FG-1 Média até 21/08/09- apos. Ñ Perm.
999218;Índ/Ref FG-4 Média até 21/08/09- apos. Ñ Perm.
999219;Índ/Ref FG-1 Permanente - até 21/08/09
999221;Índ/Ref FG-3 Permanente - até 21/08/09
999223;Índ/Ref P. Assecuratória- art. 8º Ato 1142/11
999224;Índ/Ref Memo restituição tesouraria
999225;Índ/Ref Devolução art. 37,XI - BP - anos anteriores
999226;Índ/Ref Devolução art. 37,XI - Ñ BP - anos anteriores
999230;Índ/Ref Auxílio transporte mês anterior
999231;Índ/Ref Devol IPRED 13º
999232;Índ/Ref Dev IPRED
999233;Índ/Ref Devol SPPREV 13º
999234;Índ/Ref Devolução RioPretoPrev Segurado 13º
999244;Índ/Ref 1/3 FERIAS comissionado
999247;Índ/Ref Hora Extra 50%
999248;Índ/Ref Hora Extra 100%
999249;Índ/Ref Hora Extra 50%
999250;Índ/Ref Hora Extra 100%
999251;Índ/Ref AUXILIO FUNERAL CREDITO
999252;Índ/Ref Devolução de Previdência - INSS
999254;Índ/Ref Convênio - Serviço Funerário
999255;Índ/Ref Devol (mês ant) Previdência - INSS
999256;Índ/Ref Devolução SPPREV
999257;Índ/Ref Devolução RioPretoPrev Segurado
999260;Índ/Ref FERIAS EM DOBRO
999265;Índ/Ref Devol. IPREM 13º salário
999266;Índ/Ref DEVOLUCAO ART.37,INC.XI sem Previdência
999268;Índ/Ref DEVOLUCAO PREV.SOCIAL
999269;Índ/Ref DEVOLUCAO MULTA DE TRAN
999270;Índ/Ref SALARIO-PADRAO COMISSIO
999271;Índ/Ref Devolução IRRF s/ 13º salário
999274;Índ/Ref 1/3 FERIAS C/C
999275;Índ/Ref DIF.GRAT.GABINETE ANTER
999296;Índ/Ref ACAO JUDICIAL
999299;Índ/Ref DIF. VENTOS 4
999301;Índ/Ref HORA EXTRA ESTATUTARIO
999304;Índ/Ref DIF.ABONO PERMANENCIA L.13973
999306;Índ/Ref FERIAS INDENIZADAS 2
999309;Índ/Ref DIF.ANT. AB. PERM. L.13973
999311;Índ/Ref Diferença de GNA
999321;Índ/Ref Dif.Hora Extra Estatutario
999327;Índ/Ref DIF.GLIEP BP
999328;Índ/Ref DIF.GLIEP (Sem Prev)
999330;Índ/Ref INTEGRACAO DE FERIAS (Fim)
999331;Índ/Ref DEVOL PREV. SOCIAL ANTERIORES
999332;Índ/Ref Imp. Recebida a Maior 13º Salário
999333;Índ/Ref DIF.VENC. (não base prev)
999336;Índ/Ref Grat. PM / GCM - Substituição
999338;Índ/Ref Horas-aula Ato 1196/12
999358;Índ/Ref GRAT.GAB.PERMANENTE
999359;Índ/Ref GRAT.GAB.PERMANENTE
999360;Índ/Ref GAL CONTINUA
999362;Índ/Ref Devolução INSS 13º SALÁRIO
999363;Índ/Ref DEVOL. ABONO PERMAN. RECEBIDO A MAIOR
999371;Índ/Ref Dev. Abono Perman. 13º salário
999380;Índ/Ref Abono anual PASEP
999383;Índ/Ref AÇAO TETO - Abate Teto
999385;Índ/Ref AÇÃO TETO - 13o. Abate Teto
999388;Índ/Ref Gal.Per.
999389;Índ/Ref Diferença Salário Maternidade C/C
999394;Índ/Ref Dif. vencimento anteriores (não base prev.)
999403;Índ/Ref I.R.R.F. SOBRE FERIAS
999405;Índ/Ref I.R.R.F. DIF. 13o SALAR
999407;Índ/Ref I.R.R.F. s/  FERIAS RESCISAO
999408;Índ/Ref I.R.R.F. s/  13o SALARIO RESCIS
999409;Índ/Ref I.R.R.F. S/ DISTR.LUCRO
999415;Índ/Ref ADIANTAMENTO
999416;Índ/Ref ANTECIPACAO DE ENCARGOS
999422;Índ/Ref Desc.Líquido da Complementar
999423;Índ/Ref ADIANTAMENTO S/ FERIAS
999424;Índ/Ref DESCTO PARCELA DE 13o S
999425;Índ/Ref DESCTO. ADIANT. 13o SAL
999427;Índ/Ref LIQUIDO DE RESCISAO
999428;Índ/Ref INSUFICIENCIA MES ANTER
999429;Índ/Ref ARREDONDAMENTO MES ANTE
999431;Índ/Ref SEGURO DE VIDA
999433;Índ/Ref CONTRIBUICAO ASSISTENCIAL
999436;Índ/Ref AUXILIO NATALIDADE
999437;ADITAMENTO DE FÉRIAS ESOCIAL informativa dedutora
999438;Índ/Ref Diferença de Contribuição Sindical
999444;Índ/Ref DIF.PENSAO ALIM.FERIAS
999445;Índ/Ref DIF.PENSAO ALIM.13o SAL
999447;Índ/Ref DESCTO. ADIANT. P.L.R.
999449;Índ/Ref Complemento Consignações
999450;Índ/Ref I.R.R.F.  DM 1022/11
999451;Índ/Ref INSS  DM 1022/11
999452;Índ/Ref IPREM  DM 1022/11
999453;Índ/Ref SPPREV  DM 1022/
999454;Índ/Ref Desc. Benefícios - ESTAGIÁRIOS
999455;Índ/Ref LÍQUIDO a creditar posteriormente
999456;Índ/Ref Taxa Assistencial - Sindilex
999459;Índ/Ref Dev FÉRIAS INDEN E 1/3
999465;Índ/Ref Pensão Alimentícia s/ RRA
999472;Índ/Ref Corr. Monet. - aditam. férias
999481;Índ/Ref VALE TRANSPORTE COMISSI
999485;Índ/Ref VALE ALIMENTAÇÃO
999497;Índ/Ref Contribuição Sindical Anos Anteriores
999499;Índ/Ref DEVOLUÇÃO DE FALTAS - DSR - CLT
999506;Índ/Ref MENSALIDADE ATRASADA
999507;Índ/Ref FEDERAL SEGUROS + 65 AN
999508;Índ/Ref CRACHA
999510;Índ/Ref DEDUC.SAL.MATERN.
999515;Índ/Ref Acerto GNA Gabinete - sem previdência
999533;Índ/Ref INSS 13o SALARIO RESCIS
999534;Índ/Ref MULTA TRANSITO ANOS ANTE
999540;Índ/Ref Devolução Contribuição Sindical / Assistencial (NB)
999541;Índ/Ref DESPESAS DE HOSPITAL
999547;Índ/Ref MINAS BRASIL SEG.
999551;Índ/Ref ACIDENTE DE TRANSITO
999552;Índ/Ref MULTA DE TRANSITO
999554;Índ/Ref CONTA TELEFONICA
999556;Índ/Ref DESCONTOS DIVERSOS base
999558;Índ/Ref SERVICO FUNERARIO
